Designator,Footprint,Quantity,Value,LCSC Part #
C2,CP_Elec_10x10.5,1,470uf 35v,
C5,1206,1,1uf 50v,
C6,CP_Elec_8x10.5,1,180uf 20v,
D1,0603,1,5v,C2286
D10,0603,1,COOL,C72038
"D11, D12, D13, D15",D_SMA,4,SS14,C2480
D14,0603,1,WIFI,C72038
D2,0603,1,FAN,C72038
D3,0603,1,HEAT,C2286
D4,Diode_Bridge_MBS,1,MB10S,C2488
D5,0603,1,STATUS,C72038
"H1, H2, H3, H4",MountingHole_3.5mm,4,MountingHole,
J1,TerminalBlock_bornier-6_P5.08mm,1,Screw_Terminal_01x06,C5188023
JP1,SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm,1,Jumper_2_Bridged,
JP2,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,Jumper_2_Bridged,
"K1, K2, K5",Relay_SPST_TE_PCN-1xxD3MHZ,3,UMS05-1A80-75L,C28975
L1,L_10.4x10.4_H4.8,1,68uh 2a,
"Q3, Q4, Q5",SOT-23_BigPads,3,MMBT3904,C20526
R13,0603,1,2k,C17437
R14,0603,1,2k,C17408
"R15, R16, R18",0603,3,470,C17710
R17,0603,1,2k,C17471
"R19, R21",0603,2,1k,C17720
R2k1,0603,1,1k,C17415
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm,1,XL1509-5.0,
U2,ESP32_lotlin_mini,1,mini_esp32,
