Designator,Mid X,Mid Y,Rotation,Layer
C2,50.5,-42.1,90.0,top
C5,51.3,-25.8,0.0,top
C6,41.5,-9.5,90.0,top
D1,35.8,-44.2,90.0,top
D10,30.7,-44.185,90.0,top
D11,23.9,-45.7,270.0,top
D12,4.1,-40.9,180.0,top
D13,52.6,-30.0,0.0,top
D14,32.4,-44.2,90.0,top
D15,12.0,-40.9,180.0,top
D2,27.3,-44.2,90.0,top
D3,29.0,-44.2,90.0,top
D4,41.9,-51.1,270.0,top
D5,34.1,-44.2,90.0,top
K1,-1.5225,-36.0525,90.0,top
K2,4.3775,-36.1525,90.0,top
K5,19.54,-48.7,180.0,top
L1,42.7,-29.95,90.0,top
Q3,31.9,-34.9,270.0,top
Q4,25.8,-34.9,270.0,top
Q5,18.6,-34.9,270.0,top
R13,27.3,-40.75,90.0,top
R14,30.7,-40.77,90.0,top
R15,32.0,-31.1875,0.0,top
R16,28.6,-33.7,270.0,top
R17,29.0,-40.785,90.0,top
R18,21.5,-33.7,270.0,top
R19,35.8,-40.7875,90.0,top
R21,34.1,-40.7875,90.0,top
R2k1,32.4,-40.8,90.0,top
U1,51.5,-20.1,90.0,top
U2,20.106,-10.179,0.0,bottom
